Work package,Type,Subject,Description,Parent,Status,Priority,Assignee,Start date,Finish date,Estimated time,Follows,Category,Version,Accountable
#49,Phase,Phase A — Environment and G1 close-out,"Close release gate G1. `SPEC.md` section 1 marks G1 ""code complete"", but the pass condition in the same table is that the loader reports zero warnings and the three tools resolve in the ACL. The second half is unproven.

The first work here is the environment, not the next feature. The ACL path, the usage-log entry, and the HQ `/admin` Grants section are all untested, and each one is a place where the tool works in isolation and fails in the product.

**Blocks** — Phase D. Nothing in D can be proven until a tool call reaches the ACL.

**Source** — Assessment 1. `HANDOFF.md`, ""Not verified, and why"".

**Owner** — Demitri. Dates and total work derive from the children.",,New,High,Demitri,2026-08-03,2026-08-10,13,,,,Demitri
#50,Task,A1 — Restore a working local environment,"Load `.env` from the credentials checklist. Start Postgres with `pnpm db:up`. Run `pnpm db:generate`.

**Acceptance**
- The database-gated tests in `packages/grants` run rather than skip.
- `pnpm exec vitest run packages/grants` reports zero skips for database reasons.

**Source** — Assessment 1. `HANDOFF.md`, ""Not verified, and why"". `NEXT-SESSION.md` item 3 records the current blockers: `DATABASE_URL` is absent from `.env` entirely, and `/var/run/docker.sock` does not exist. Prisma client generation and the `packages/db` build are already cleared.

**Owner** — Demitri. **Estimate** — 3h.",Phase A — Environment and G1 close-out,New,High,Demitri,2026-08-03,2026-08-03,3,,Build,G1,Demitri
#51,Task,A2 — Fix the repository lint break,"`@eslint/js` is not installed, so `pnpm lint` fails everywhere. This is not our defect and it blocks our gate check.

**Acceptance**
- `pnpm lint` completes on `packages/grants` with no configuration error.

**Already done, ahead of this pass** — `@eslint/js` and `typescript-eslint` are installed at the root, `packages/grants` has a `lint` script, and it reports clean. Twelve errors were found and all twelve fixed; two were real bugs of a quiet kind in the matcher and in two tests. `NEXT-SESSION.md` asks that this be closed and a separate repo-wide rollout package opened, carrying the 415-problem baseline and the caveat that any type-aware lint run is meaningless unless `pnpm db:generate && pnpm --filter @lp-ai/lib-db build` has run first. Status is left at New by instruction.

**Source** — Assessment 1. `NEXT-SESSION.md` item 2.

**Owner** — Demitri. **Estimate** — 2h. No predecessor: the lint break is independent of the database.",Phase A — Environment and G1 close-out,New,Normal,Demitri,2026-08-04,2026-08-04,2,,Build,G1,Demitri
#52,Task,A3 — Apply the tool_permissions migration,"The migration at `packages/db/prisma/migrations/20260729000000_add_grant_tool_permissions/` is written and unapplied. Apply it locally with `pnpm db:migrate`. Apply it to production with a one-off ECS task or the bastion, because RDS is not publicly reachable.

**Acceptance**
- The `tool_permissions` row exists in both environments.
- The roles are leadership and administrator, per `TAD.md` section 2.4, pending E5.

**Open question** — the production half has no named owner. `NEXT-SESSION.md` question 4 asks who can apply a migration to production given the same access constraint.

**Source** — Assessment 1. `TAD.md` section 2.4.

**Owner** — Demitri. **Estimate** — 3h. **Follows** — A1.",Phase A — Environment and G1 close-out,New,High,Demitri,2026-08-04,2026-08-05,3,A1 — Restore a working local environment,Build,G1,Demitri
#53,Task,A4 — Add the grants category to the HQ admin page,"`grants` is a new category. Add it to `CATEGORY_ORDER` and `CATEGORY_LABELS` in `apps/hq/app/admin/PermissionsMatrix.tsx`. The file is already modified in the working tree — verify and finish.

**Acceptance**
- The grant tools render in a Grants section on HQ `/admin`.
- An administrator can change the roles there without a code change.

**Source** — Assessment 1. Commit `ced45f8` carries the first half.

**Owner** — Demitri. **Estimate** — 2h. **Follows** — A3.",Phase A — Environment and G1 close-out,New,High,Demitri,2026-08-06,2026-08-07,2,A3 — Apply the tool_permissions migration,Build,G1,Demitri
#54,Task,A5 — Invoke grant_match_question through the running server,"The unit tests do not exercise the ACL path or the usage log. Start the server and make a real call.

**Acceptance**
- The call appears on HQ `/tools` with the caller identity.
- A call from a role outside the permission record is refused.

**Source** — Assessment 1. This is the unproven half of the G1 pass condition.

**Owner** — Demitri. **Estimate** — 3h. **Follows** — A3. It needs the permission row, not the admin page.",Phase A — Environment and G1 close-out,New,High,Demitri,2026-08-06,2026-08-07,3,A3 — Apply the tool_permissions migration,Build,G1,Demitri
#55,Milestone,A6 — Milestone: G1 passed,"**Pass condition**, verbatim from `SPEC.md` section 1 — ""The loader reports zero warnings. The three tools resolve in the ACL.""

The first half holds. The second half is what A3 to A5 prove. Until then the board must not show G1 as complete.

**Follows** — A4 and A5. The gate covers the admin page as well as the server call.

**Board date** — 2026-08-10, derived from the relations.",Phase A — Environment and G1 close-out,New,High,Demitri,2026-08-10,2026-08-10,,A4 — Add the grants category to the HQ admin page; A5 — Invoke grant_match_question through the running server,,G1,Demitri
#56,Phase,Phase B — Model-grant content analysis,"The direct ask from 2026-07-31: *""Where is your analysis of the efficacy of the content we have used in the past? What examples are you using from our past grants to improve our future grants?""*

The same notes set the method: identify the best language manually, focus on six model grants, define the categories to fill, and extract the best in each category from the six models.

The remaining risk on this package is content, not code. G2 closed the one technical risk on the best of the three outcomes in `SPEC.md` section 5.3 — 28,690 of 28,690 recorded `difflib` ratios reproduce exactly, and all 337 recorded matcher results reproduce field for field. What is unproven is the knowledge base: it holds 29 answers, four are `verified:false`, and one content gap is confirmed open. The draft builder can only return what the knowledge base holds, so its quality ceiling is the content.

**Blocked by** — nothing. Runs in parallel with Phase A; it needs no environment.

**Source** — Assessment 2.

**Owner** — Sean.",,New,High,Sean,2026-08-03,2026-08-28,51,,,,Sean
#57,Task,B1 — Define the answer categories the drafts must fill,"Reconcile the 11 categories and 29 knowledge base slots in `seed/questions.json` against what the six model grants actually contain.

**Acceptance**
- A category matrix. Every slot is marked strongly sourced, weakly sourced, or unsourced.
- Every unsourced slot names the grant most likely to hold the language.

**Source** — Assessment 2. `SPEC.md` section 3.1 records four answers at `verified:false`.

**Owner** — Sean. **Estimate** — 8h.",Phase B — Model-grant content analysis,New,High,Sean,2026-08-03,2026-08-07,8,,Content,,Sean
#58,Task,B2 — Extract best-in-category language from the six model grants,"The six, from the ""Key LaunchPad Development Files"" folder and the 2026-07-21 session: Upwork, Connelly, Google Foundation, Hummingbird, Linehan Family Foundation, and United Way.

Their stated strengths, from the same session:
- Upwork and Connelly best reflect the current AI engineer, LiftOff, and Inc. framing.
- Google Foundation carries the structural-shift language on AI and the economy.
- Hummingbird focuses on Launchpad 101 and enrichment.
- Linehan covers all programs.
- United Way is the recommended addition for 101.

Manual extraction, per the 2026-07-31 note.

**Acceptance**
- One candidate passage per category, each carrying its source grant and the reason it was chosen.

**Owner** — Sean. **Estimate** — 16h. **Follows** — B1.",Phase B — Model-grant content analysis,New,High,Sean,2026-08-10,2026-08-14,16,B1 — Define the answer categories the drafts must fill,Content,,Sean
